Video File,Meta File,TimeStamp,Exposure,Gain,Gamma,Binning,Capture Area,
2025-01-17-1521_3-SkyFlat-640x640-bin2x2_656HIA.avi,2025-01-17-1528_0-SkyFlat-640x640-bin2x2_450BLU.CameraSettings.txt,2025-01-17T15:27:34.9896336Z,0.003,60.0,No Gamma,2,640x640,
2025-01-17-1528_0-SkyFlat-640x640-bin2x2_450BLU.avi,2025-01-17-1526_5-SkyFlat-640x640-bin2x2_550GRN.CameraSettings.txt,2025-01-17T15:26:02.6243520Z,0.005,60.0,No Gamma,2,640x640,
2025-01-17-1526_5-SkyFlat-640x640-bin2x2_550GRN.avi,2025-01-17-1525_4-SkyFlat-640x640-bin2x2_685NIR.CameraSettings.txt,2025-01-17T15:24:59.1019522Z,0.02,60.0,No Gamma,2,640x640,
2025-01-17-1525_4-SkyFlat-640x640-bin2x2_685NIR.avi,2025-01-17-1524_4-SkyFlat-640x640-bin2x2_647NH3.CameraSettings.txt,2025-01-17T15:23:55.5988909Z,0.099,60.0,No Gamma,2,640x640,
2025-01-17-1524_4-SkyFlat-640x640-bin2x2_647NH3.avi,2025-01-17-1523_4-SkyFlat-640x640-bin2x2_620CH4.CameraSettings.txt,2025-01-17T15:22:53.8805852Z,0.099,60.0,No Gamma,2,640x640,
2025-01-17-1523_4-SkyFlat-640x640-bin2x2_620CH4.avi,2025-01-17-1522_3-SkyFlat-640x640-bin2x2_632OI.CameraSettings.txt,2025-01-17T15:21:52.2759000Z,0.099,60.0,No Gamma,2,640x640,
2025-01-17-1522_3-SkyFlat-640x640-bin2x2_632OI.avi,2025-01-17-1521_3-SkyFlat-640x640-bin2x2_656HIA.CameraSettings.txt,2025-01-17T15:20:48.7639294Z,0.099,60.0,No Gamma,2,640x640,
