Video File,Meta File,TimeStamp,Exposure,Gain,Gamma,Binning,Capture Area,
2025-10-17-0908_1-Jupiter_450BLU.avi,2025-10-17-0908_1-Jupiter_450BLU.CameraSettings.txt,2025-10-17T09:07:26.7963731Z,0.01,60.0,No Gamma,1,320x320,
2025-10-17-0910_0-Jupiter_656HIA.avi,2025-10-17-0910_0-Jupiter_656HIA.CameraSettings.txt,2025-10-17T09:09:00.5669286Z,0.05,60.0,No Gamma,1,320x320,
2025-10-17-0912_0-Jupiter_632OI.avi,2025-10-17-0912_0-Jupiter_632OI.CameraSettings.txt,2025-10-17T09:11:04.2454793Z,0.05,60.0,No Gamma,1,320x320,
2025-10-17-0914_1-Jupiter_620CH4.avi,2025-10-17-0914_1-Jupiter_620CH4.CameraSettings.txt,2025-10-17T09:13:08.0183203Z,0.05,60.0,No Gamma,1,320x320,
2025-10-17-0916_1-Jupiter_647NH3.avi,2025-10-17-0916_1-Jupiter_647NH3.CameraSettings.txt,2025-10-17T09:15:11.7294875Z,0.05,60.0,No Gamma,1,320x320,
2025-10-17-0918_2-Jupiter_647NH3.avi,2025-10-17-0918_2-Jupiter_647NH3.CameraSettings.txt,2025-10-17T09:17:12.0235183Z,0.05,60.0,No Gamma,1,320x320,
2025-10-17-0920_2-Jupiter_620CH4.avi,2025-10-17-0920_2-Jupiter_620CH4.CameraSettings.txt,2025-10-17T09:19:15.7824571Z,0.05,60.0,No Gamma,1,320x320,
2025-10-17-0922_3-Jupiter_632OI.avi,2025-10-17-0922_3-Jupiter_632OI.CameraSettings.txt,2025-10-17T09:21:19.4962911Z,0.05,60.0,No Gamma,1,320x320,
2025-10-17-0924_3-Jupiter_656HIA.avi,2025-10-17-0924_3-Jupiter_656HIA.CameraSettings.txt,2025-10-17T09:23:23.3037944Z,0.05,60.0,No Gamma,1,320x320,
2025-10-17-0926_2-Jupiter_685NIR.avi,2025-10-17-0926_2-Jupiter_685NIR.CameraSettings.txt,2025-10-17T09:25:28.7625064Z,0.009,60.0,No Gamma,1,320x320,
2025-10-17-0927_7-Jupiter_550GRN.avi,2025-10-17-0927_7-Jupiter_550GRN.CameraSettings.txt,2025-10-17T09:27:02.4842421Z,0.006,60.0,No Gamma,1,320x320,
2025-10-17-0929_3-Jupiter_450BLU.avi,2025-10-17-0929_3-Jupiter_450BLU.CameraSettings.txt,2025-10-17T09:28:36.2723053Z,0.01,60.0,No Gamma,1,320x320,
2025-10-17-0931_1-Jupiter_656HIA.avi,2025-10-17-0931_1-Jupiter_656HIA.CameraSettings.txt,2025-10-17T09:30:10.1108138Z,0.05,60.0,No Gamma,1,320x320,
2025-10-17-0933_2-Jupiter_632OI.avi,2025-10-17-0933_2-Jupiter_632OI.CameraSettings.txt,2025-10-17T09:32:13.8053427Z,0.05,60.0,No Gamma,1,320x320,
2025-10-17-0935_2-Jupiter_620CH4.avi,2025-10-17-0935_2-Jupiter_620CH4.CameraSettings.txt,2025-10-17T09:34:17.4889055Z,0.05,60.0,No Gamma,1,320x320,
2025-10-17-0936_3-Jupiter_647NH3.avi,2025-10-17-0936_3-Jupiter_647NH3.CameraSettings.txt,2025-10-17T09:36:21.2762679Z,0.05,60.0,No Gamma,1,320x320,
2025-10-17-0938_3-Jupiter_647NH3.avi,2025-10-17-0938_3-Jupiter_647NH3.CameraSettings.txt,2025-10-17T09:38:21.5298328Z,0.05,60.0,No Gamma,1,320x320,
2025-10-17-0941_4-Jupiter_620CH4.avi,2025-10-17-0941_4-Jupiter_620CH4.CameraSettings.txt,2025-10-17T09:40:25.2347119Z,0.05,60.0,No Gamma,1,320x320,
2025-10-17-0943_4-Jupiter_632OI.avi,2025-10-17-0943_4-Jupiter_632OI.CameraSettings.txt,2025-10-17T09:42:29.0086814Z,0.05,60.0,No Gamma,1,320x320,
2025-10-17-0945_5-Jupiter_656HIA.avi,2025-10-17-0945_5-Jupiter_656HIA.CameraSettings.txt,2025-10-17T09:44:32.7690446Z,0.05,60.0,No Gamma,1,320x320,
2025-10-17-0947_3-Jupiter_685NIR.avi,2025-10-17-0947_3-Jupiter_685NIR.CameraSettings.txt,2025-10-17T09:46:38.3234047Z,0.009,60.0,No Gamma,1,320x320,
2025-10-17-0948_9-Jupiter_550GRN.avi,2025-10-17-0948_9-Jupiter_550GRN.CameraSettings.txt,2025-10-17T09:48:11.9562356Z,0.006,60.0,No Gamma,1,320x320,
2025-10-17-0950_5-Jupiter_450BLU.avi,2025-10-17-0950_5-Jupiter_450BLU.CameraSettings.txt,2025-10-17T09:49:45.7670208Z,0.01,60.0,No Gamma,1,320x320,
2025-10-17-0952_3-Jupiter_656HIA.avi,2025-10-17-0952_3-Jupiter_656HIA.CameraSettings.txt,2025-10-17T09:51:19.6152768Z,0.05,60.0,No Gamma,1,320x320,
2025-10-17-0954_3-Jupiter_632OI.avi,2025-10-17-0954_3-Jupiter_632OI.CameraSettings.txt,2025-10-17T09:53:23.2635037Z,0.05,60.0,No Gamma,1,320x320,
2025-10-17-0956_4-Jupiter_620CH4.avi,2025-10-17-0956_4-Jupiter_620CH4.CameraSettings.txt,2025-10-17T09:55:27.0298814Z,0.05,60.0,No Gamma,1,320x320,
2025-10-17-0958_5-Jupiter_647NH3.avi,2025-10-17-0958_5-Jupiter_647NH3.CameraSettings.txt,2025-10-17T09:57:30.7456360Z,0.05,60.0,No Gamma,1,320x320,
2025-10-17-1000_5-Jupiter_647NH3.avi,2025-10-17-1000_5-Jupiter_647NH3.CameraSettings.txt,2025-10-17T09:59:31.0239896Z,0.05,60.0,No Gamma,1,320x320,
2025-10-17-1002_5-Jupiter_620CH4.avi,2025-10-17-1002_5-Jupiter_620CH4.CameraSettings.txt,2025-10-17T10:01:34.7652530Z,0.05,60.0,No Gamma,1,320x320,
2025-10-17-1004_6-Jupiter_632OI.avi,2025-10-17-1004_6-Jupiter_632OI.CameraSettings.txt,2025-10-17T10:03:38.5194799Z,0.05,60.0,No Gamma,1,320x320,
2025-10-17-1006_7-Jupiter_656HIA.avi,2025-10-17-1006_7-Jupiter_656HIA.CameraSettings.txt,2025-10-17T10:05:42.2415198Z,0.05,60.0,No Gamma,1,320x320,
2025-10-17-1008_5-Jupiter_685NIR.avi,2025-10-17-1008_5-Jupiter_685NIR.CameraSettings.txt,2025-10-17T10:07:47.8212869Z,0.009,60.0,No Gamma,1,320x320,
2025-10-17-1010_1-Jupiter_550GRN.avi,2025-10-17-1010_1-Jupiter_550GRN.CameraSettings.txt,2025-10-17T10:09:21.4816812Z,0.006,60.0,No Gamma,1,320x320,
2025-10-17-1011_6-Jupiter_450BLU.avi,2025-10-17-1011_6-Jupiter_450BLU.CameraSettings.txt,2025-10-17T10:10:55.2644707Z,0.01,60.0,No Gamma,1,320x320,
2025-10-17-1013_4-Jupiter_656HIA.avi,2025-10-17-1013_4-Jupiter_656HIA.CameraSettings.txt,2025-10-17T10:12:29.1483396Z,0.05,60.0,No Gamma,1,320x320,
2025-10-17-1015_5-Jupiter_632OI.avi,2025-10-17-1015_5-Jupiter_632OI.CameraSettings.txt,2025-10-17T10:14:32.7707481Z,0.05,60.0,No Gamma,1,320x320,
2025-10-17-1017_6-Jupiter_620CH4.avi,2025-10-17-1017_6-Jupiter_620CH4.CameraSettings.txt,2025-10-17T10:16:36.5089514Z,0.05,60.0,No Gamma,1,320x320,
2025-10-17-1019_6-Jupiter_647NH3.avi,2025-10-17-1019_6-Jupiter_647NH3.CameraSettings.txt,2025-10-17T10:18:40.2851695Z,0.05,60.0,No Gamma,1,320x320,
2025-10-17-1021_6-Jupiter_647NH3.avi,2025-10-17-1021_6-Jupiter_647NH3.CameraSettings.txt,2025-10-17T10:20:40.5325531Z,0.05,60.0,No Gamma,1,320x320,
2025-10-17-1023_7-Jupiter_620CH4.avi,2025-10-17-1023_7-Jupiter_620CH4.CameraSettings.txt,2025-10-17T10:22:44.2356513Z,0.05,60.0,No Gamma,1,320x320,
